Jupiter pitch,Saturn pitch,Uranus pitch,Neptune pitch
60,60,60,60
60,60,60,60
60,60,60,60
60,60,60,60
60,60,60,60
60,60,60,60
60,60,60,60
60,61,60,60
63,60,60,61
66,60,60,65
66,60,60,67
66,60,60,68
66,60,60,83
67,60,60,84
71,60,60,
74,60,60,
75,60,60,
75,60,60,
75,60,62,
75,60,65,
75,60,66,
75,60,66,
75,60,71,
75,67,74,
76,67,77,
75,69,79,
75,71,84,
78,72,,
78,73,,
79,73,,
77,74,,
77,74,,
78,74,,
78,75,,
78,74,,
78,75,,
78,75,,
78,75,,
78,76,,
78,76,,
78,76,,
78,76,,
78,77,,
78,77,,
79,77,,
78,78,,
79,78,,
79,80,,
79,80,,
78,81,,
79,81,,
72,81,,
73,84,,
74,78,,
74,77,,
75,75,,
75,76,,
76,76,,
77,80,,
77,73,,
78,76,,
78,60,,
78,,,
79,,,
79,,,
79,,,
84,,,